UF,PR
Cidade,PLANALTO
Nome Posto,PLANALTO
Latitude,-25.7
Longitude,-53.766666666666666
Codigo,2553015
Qtd. Anos,43
Ano,Maxima
1973,100
1974,61.4
1975,81
1976,66.4
1977,98.6
1978,87.4
1979,104
1980,90.6
1981,142.2
1982,117.8
1983,121.6
1984,130.2
1985,80.8
1986,82.2
1987,105
1988,92.6
1989,83.8
1990,157.4
1991,122.8
1992,113.2
1993,83.2
1994,77.6
1995,77.6
1996,208.4
1997,138.4
1998,157.4
1999,101
2000,157
2001,80.8
2002,106.6
2003,95.6
2004,117
2005,150.4
2006,93.6
2007,103.6
2008,71.6
2009,96.2
2010,111.6
2011,106.2
2012,97.2
2013,102
2014,140.8
2015,83.4
