UF,PR
Cidade,PARANAGUA
Nome Posto,COLONIA SANTA CRUZ
Latitude,-25.596666666666664
Longitude,-48.624722222222225
Codigo,2548049
Qtd. Anos,43
Ano,Maxima
1974,146.4
1975,63
1976,88
1977,117.2
1978,69.4
1979,139.4
1980,105
1981,94.6
1982,159.4
1983,93.3
1984,71
1985,99
1986,148.2
1987,165
1988,99.5
1989,175.6
1990,131.7
1991,119.7
1992,65.5
1993,90.3
1994,149.6
1995,96.6
1996,90.7
1997,95.6
1998,88.1
1999,84.9
2000,86.9
2001,181.6
2002,108
2003,122.5
2004,257.4
2005,89.8
2006,131.3
2007,93.4
2008,162.8
2009,115
2010,169.2
2011,241.8
2012,127.1
2013,131.4
2014,107.6
2015,73.5
2017,159.9
