UF,PR
Cidade,NOVA ESPERANCA
Nome Posto,IVAITINGA
Latitude,-23.221944444444443
Longitude,-52.349722222222226
Codigo,2352039
Qtd. Anos,41
Ano,Maxima
1976,80.6
1977,71
1978,91.4
1979,106.4
1980,116.7
1981,115.8
1982,79.5
1983,94.2
1984,85.9
1985,73.1
1986,127.4
1987,97.2
1988,74.8
1989,78.2
1990,114
1991,77.1
1992,91.5
1993,95.3
1994,61.1
1995,91.9
1996,60.9
1997,107
1998,76.2
1999,74.8
2000,81.6
2001,58.2
2002,127.2
2003,96.3
2004,72.3
2005,58.9
2006,82.5
2007,102.5
2008,66.4
2009,98.2
2010,86.7
2011,75.3
2012,131.1
2013,66.3
2014,61.8
2015,87.7
2017,75.7
