UF,PR
Cidade,AMAPORA
Nome Posto,AMAPORA
Latitude,-23.085277777777776
Longitude,-52.78472222222222
Codigo,2352051
Qtd. Anos,41
Ano,Maxima
1976,70
1977,57
1978,61
1979,92
1980,122
1981,79
1982,87
1983,63.2
1984,61.6
1985,93.8
1986,117.2
1987,124
1988,85
1989,65.4
1990,79
1991,57.3
1992,111.9
1993,89.1
1994,93.9
1995,99.8
1996,73.6
1997,94.5
1998,88.4
1999,75.5
2000,168.2
2001,112.4
2002,96.5
2003,104
2004,85
2005,69.5
2006,118
2007,90.2
2008,76.8
2009,116
2010,104.2
2011,121.4
2012,126.3
2013,77.8
2014,84.8
2015,174.3
2017,102.3
