UF,PR
Cidade,PEROLA D'OESTE
Nome Posto,PEROLA DO OESTE
Latitude,-25.833333333333332
Longitude,-53.75
Codigo,2553005
Qtd. Anos,49
Ano,Maxima
1964,131.2
1965,134
1966,80
1967,182
1968,81.2
1969,92
1970,96.2
1971,120
1972,178
1973,105.6
1974,78.4
1975,141.2
1976,106.6
1977,91.4
1978,87.6
1979,124.4
1980,98
1981,106
1982,116.6
1983,139
1984,94
1985,54.2
1986,75
1987,91.1
1988,109.6
1989,99.7
1990,225.1
1991,101.8
1992,97.1
1993,109.7
1994,72.5
1995,134.6
1996,180.4
1997,136
1998,174
1999,84.5
2000,116.2
2001,111.7
2002,112.8
2003,105.7
2004,136.1
2005,102.4
2006,75.4
2007,128.4
2008,95.3
2009,124
2010,76.7
2011,101.6
2012,86.3
