UF,PR
Cidade,JOAQUIM TAVORA
Nome Posto,JOAQUIM TAVORA MTE
Latitude,-23.5
Longitude,-49.86666666666667
Codigo,2349030
Qtd. Anos,46
Ano,Maxima
1971,46.2
1972,53
1973,94.2
1974,97
1975,58
1976,68.4
1977,73
1978,55
1979,64
1980,126.8
1981,101.2
1982,70
1983,106.4
1984,102
1985,79
1986,87.8
1987,56.8
1988,82.9
1989,101.8
1990,131.3
1991,61.4
1992,70.5
1993,73.5
1994,103.5
1995,91.4
1996,142
1997,92.2
1998,67.6
1999,56.4
2000,78.4
2001,65.6
2002,74.4
2003,89.1
2004,83.8
2005,76.5
2006,77.3
2007,107.6
2008,80.8
2009,69.2
2010,83.8
2011,83.9
2012,151
2013,65.8
2014,82.4
2015,78.3
2016,55.2
