UF,PR
Cidade,TOMAZINA
Nome Posto,TOMAZINA
Latitude,-23.766666666666666
Longitude,-49.95
Codigo,2349033
Qtd. Anos,81
Ano,Maxima
1937,70.2
1938,50.2
1939,76.2
1940,55.2
1941,85.3
1942,69
1943,59.2
1944,62.4
1945,83.7
1946,65.8
1947,75.2
1948,46.4
1949,54.8
1950,79
1951,82.2
1952,77
1953,59
1954,90
1955,142
1956,82.2
1957,119
1958,63.5
1959,69
1960,79.4
1961,92.6
1962,79.6
1963,114.2
1964,61
1965,90.6
1966,61.2
1967,99.2
1968,72
1969,69.6
1970,93.2
1971,78.2
1972,80.6
1973,83.2
1974,94
1975,85.6
1976,80
1977,81
1978,84.6
1979,60.8
1980,76.8
1981,88.2
1982,63.4
1983,73
1984,67.8
1985,106.2
1986,89
1987,83
1988,88.6
1989,75
1990,94.2
1991,87
1992,74.8
1993,79
1994,94.6
1995,125
1996,85.6
1997,163
1998,56
1999,73
2000,138.5
2001,59.4
2002,93.2
2003,80.4
2004,125.3
2005,70.9
2006,98.2
2007,112.9
2008,59.7
2009,70.3
2010,138.5
2011,82
2012,91.6
2013,82.2
2014,113.5
2015,79
2016,72.7
2017,61
