UF,PR
Cidade,RESERVA
Nome Posto,BARREIRO
Latitude,-24.66888888888889
Longitude,-50.934999999999995
Codigo,2450050
Qtd. Anos,38
Ano,Maxima
1975,56.6
1976,55
1977,66.2
1978,107.2
1979,68.8
1980,77.2
1981,105.4
1982,98.6
1983,101.4
1984,88
1985,58
1986,86.8
1987,105.6
1988,71
1989,76
1990,76.2
1991,57.2
1992,91
1993,104.1
1994,72.3
1995,104.5
1996,111
1997,92
1998,133.4
1999,55.6
2000,87.7
2001,82.1
2002,87.9
2003,77.4
2004,56.8
2005,160.7
2006,64.5
2007,104.6
2008,121.8
2009,103
2010,67
2011,95
2012,82.7
