UF,PR
Cidade,QUERENCIA DO NORTE
Nome Posto,ICATU
Latitude,-22.97472222222222
Longitude,-53.396388888888886
Codigo,2253010
Qtd. Anos,44
Ano,Maxima
1975,61.6
1976,99.3
1977,96.6
1978,58.2
1979,100.4
1980,116.2
1981,111.8
1982,99.2
1983,73.4
1984,95.2
1985,93.4
1986,90.2
1987,61
1988,81.2
1989,76
1990,81.2
1991,189.2
1992,81.6
1993,104.1
1994,136.9
1995,87.7
1996,81.6
1997,153.2
1998,62
1999,59.5
2000,147.8
2001,90.5
2002,114.2
2003,99.8
2004,87.6
2005,80.5
2006,126.5
2007,60.1
2008,76
2009,97.5
2010,120
2011,104
2012,138.9
2013,103
2014,83.1
2015,120
2016,60.3
2017,100.4
2018,68.4
