UF,PR
Cidade,GOIOXIM
Nome Posto,GOIOXIM
Latitude,-25.199722222222224
Longitude,-51.990833333333335
Codigo,2552026
Qtd. Anos,41
Ano,Maxima
1976,97
1977,74.4
1978,85.6
1979,136.8
1980,80
1981,79.6
1982,97.2
1983,137.6
1984,72.2
1985,76
1986,68.4
1987,157.7
1988,102.2
1989,101.8
1990,128.1
1991,127.8
1992,139.2
1993,135.7
1994,70.7
1995,136.6
1996,136.1
1997,122
1998,138.2
1999,112.7
2000,107.7
2001,106.3
2002,101.2
2003,77.2
2004,92.9
2005,105.5
2006,65.6
2007,102.2
2008,94.5
2009,85.6
2010,85.7
2011,145.7
2012,135
2013,122.4
2014,224.7
2015,74.3
2017,88.6
