UF,PR
Cidade,SAO JERONIMO DA SERRA
Nome Posto,TERRA NOVA
Latitude,-23.780555555555555
Longitude,-50.814166666666665
Codigo,2350037
Qtd. Anos,42
Ano,Maxima
1975,75
1976,73
1977,85
1978,140
1979,104
1980,135
1981,97.4
1982,71
1983,110.7
1984,115
1985,60
1986,220
1987,93.4
1988,51.2
1989,172.4
1990,75.4
1991,72.3
1992,75.2
1993,100.2
1994,80.7
1995,93.1
1996,67.6
1997,113
1998,103.7
1999,71.9
2000,116.4
2001,75.2
2002,103.7
2003,76.5
2004,71.4
2005,86.2
2006,63.3
2007,93.1
2008,66.6
2009,70
2010,50.7
2011,94.1
2012,53.8
2013,104.8
2014,102.6
2015,81
2017,71.7
