UF,PR
Cidade,CAPITAO LEONIDAS MARQUES
Nome Posto,CAPITAO LEONIDAS MARQUES
Latitude,-25.483333333333334
Longitude,-53.61666666666667
Codigo,2553024
Qtd. Anos,42
Ano,Maxima
1975,93.6
1976,93.2
1977,84.8
1978,85.5
1979,130.2
1980,118
1981,134.6
1982,117
1983,170.2
1984,153.2
1985,80.2
1986,80.2
1987,92.5
1988,120
1989,104.4
1990,119
1991,62.9
1992,132.9
1993,164.1
1994,79.3
1995,76.9
1996,88.2
1997,212.5
1998,127
1999,82
2000,123.3
2001,103.6
2002,97.1
2003,110.4
2004,105.8
2005,144.2
2006,79.3
2007,103.9
2008,62.6
2009,85.2
2010,103.9
2011,106.9
2012,109.8
2013,145.1
2014,177.7
2015,129.3
2017,120.3
