UF,PR
Cidade,XAMBRE
Nome Posto,PINDORAMA
Latitude,-23.716666666666665
Longitude,-53.713055555555556
Codigo,2353020
Qtd. Anos,41
Ano,Maxima
1976,66.2
1977,82.6
1978,79
1979,67.4
1980,96.2
1981,95.6
1982,98.4
1983,84.6
1984,65
1985,52
1986,78.9
1987,72.1
1988,91.5
1989,54.2
1990,86.6
1991,86.5
1992,128.1
1993,65.6
1994,56.4
1995,70.3
1996,77.8
1997,86.2
1998,91.4
1999,141.1
2000,79.4
2001,92.3
2002,96.3
2003,76
2004,85.8
2005,48.7
2006,135.8
2007,84.5
2008,78.5
2009,93
2010,112.8
2011,67.6
2012,75.6
2013,81.2
2014,146
2015,138.1
2017,92.3
