UF,PR
Cidade,FAROL
Nome Posto,FAROL
Latitude,-24.090555555555554
Longitude,-52.62138888888889
Codigo,2452029
Qtd. Anos,42
Ano,Maxima
1975,54.3
1976,81.4
1977,103
1978,87
1979,78.8
1980,76.2
1981,82.1
1982,141.1
1983,131.5
1984,84.9
1985,141.3
1986,66.8
1987,83
1988,82
1989,95.8
1990,92.2
1991,86
1992,110.4
1993,71.7
1994,109
1995,104.2
1996,129.4
1997,70.5
1998,84.1
1999,105.8
2000,83.1
2001,67
2002,74
2003,93
2004,82
2005,99.6
2006,82.3
2007,108.3
2008,56
2009,125
2010,119
2011,124
2012,129.5
2013,105.1
2014,145
2015,114.3
2017,79.9
