UF,PR
Cidade,SANTO ANTONIO DO SUDOESTE
Nome Posto,SANTO ANTONIO DO SUDOESTE
Latitude,-26.066666666666666
Longitude,-53.730000000000004
Codigo,2653009
Qtd. Anos,53
Ano,Maxima
1964,56.4
1965,85
1966,70
1967,82.2
1968,106.4
1969,110.1
1970,99.8
1971,76.8
1972,129
1973,190.5
1974,78.2
1975,84
1976,74.8
1977,74.5
1978,64.8
1979,112.8
1980,90.1
1981,89.1
1982,140
1983,120
1984,48.3
1985,43.2
1986,128.6
1987,95.2
1988,69
1989,73.6
1990,86.8
1991,169.1
1992,162
1993,76.4
1994,49.2
1995,67.3
1996,64
1997,99.4
1998,53
1999,62.7
2000,59
2001,99
2002,67.5
2003,110
2004,64
2005,97.4
2006,96
2007,98
2008,91.4
2009,79.4
2010,115.4
2011,102.3
2012,92.4
2013,209.9
2014,150.6
2015,97.7
2017,1555.4
