UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,FAXINAL DA BOA VISTA
Latitude,-24.916666666666668
Longitude,-51.36666666666667
Codigo,2451029
Qtd. Anos,42
Ano,Maxima
1975,25.5
1976,119
1977,75
1978,128
1979,75
1980,150
1981,135.6
1982,82
1983,109
1984,77
1985,69
1986,67
1987,71
1988,124
1989,76
1990,84
1991,90
1992,134.2
1993,95.5
1994,78.5
1995,106
1996,123.6
1997,75.4
1998,80
1999,54.1
2000,83.7
2001,73.2
2002,75.1
2003,63
2004,61.5
2005,66.7
2006,77
2007,116.1
2008,82.8
2009,86.4
2010,70
2011,136.8
2012,91.1
2013,93.4
2014,101.7
2015,75.9
2017,96.5
