UF,PR
Cidade,ICARAIMA
Nome Posto,ICARAIMA
Latitude,-23.383055555555558
Longitude,-53.61666666666667
Codigo,2353031
Qtd. Anos,41
Ano,Maxima
1976,107.6
1977,91.1
1978,84.6
1979,84.4
1980,96
1981,131.4
1982,94
1983,151
1984,75.1
1985,61.6
1986,107
1987,73.4
1988,104.6
1989,91.4
1990,64.4
1991,72.6
1992,111
1993,90.1
1994,68.4
1995,148
1996,105.1
1997,124.8
1998,100.2
1999,77.9
2000,114
2001,86.4
2002,95.8
2003,70.8
2004,99.3
2005,52.1
2006,88
2007,92
2008,81.4
2009,97
2010,107.8
2011,96.1
2012,73.5
2013,88
2014,66
2015,140.1
2017,56
