UF,PR
Cidade,PALMEIRA
Nome Posto,COLONIA WITMARSUM
Latitude,-25.433333333333334
Longitude,-49.81666666666667
Codigo,2549065
Qtd. Anos,42
Ano,Maxima
1975,65
1976,89.9
1977,100.3
1978,70
1979,71
1980,79
1981,73
1982,94
1983,42.5
1984,49.1
1985,50.3
1986,36.3
1987,64.1
1988,95
1989,78
1990,106.3
1991,81.8
1992,100.1
1993,77.3
1994,64.5
1995,97.9
1996,100.1
1997,98.3
1998,96.8
1999,69.5
2000,74.4
2001,60.9
2002,64.2
2003,109.9
2004,68.6
2005,91.5
2006,54.8
2007,84.8
2008,88
2009,74.5
2010,77.5
2011,84.4
2012,79.6
2013,97.2
2014,120
2015,64
2017,61.7
