UF,PR
Cidade,CIDADE GAUCHA
Nome Posto,SANTA MONICA
Latitude,-23.43861111111111
Longitude,-53.01611111111111
Codigo,2353017
Qtd. Anos,41
Ano,Maxima
1976,68
1977,68
1978,106.3
1979,128.6
1980,84.6
1981,94.6
1982,71
1983,78.2
1984,66.4
1985,60.1
1986,61.8
1987,79.8
1988,59.5
1989,59.8
1990,59.4
1991,53.5
1992,122.6
1993,83.3
1994,54.6
1995,85.5
1996,66.7
1997,85.9
1998,117.5
1999,93.3
2000,88.1
2001,85.2
2002,101.3
2003,66.8
2004,68.8
2005,57.2
2006,120
2007,68.8
2008,109.3
2009,74.5
2010,72
2011,66.4
2012,112.1
2013,101.2
2014,132.1
2015,147
2017,71.4
