UF,PR
Cidade,QUEDAS DO IGUACU
Nome Posto,QUEDAS DO IGUACU (CAMPO NOVO)
Latitude,-25.448333333333334
Longitude,-52.904444444444444
Codigo,2552000
Qtd. Anos,68
Ano,Maxima
1949,52.8
1950,109
1951,117
1952,132
1953,104
1954,115
1955,150
1956,130.3
1957,223.2
1958,134.3
1959,135
1960,110
1961,113
1962,97.2
1963,160
1964,135
1965,141
1966,110
1967,90
1968,105
1969,161
1970,98
1971,81
1972,77
1973,107
1974,68
1975,75
1976,72
1977,85
1978,71
1979,103
1980,99
1981,123
1982,99
1983,121
1984,110
1985,56
1986,88
1987,120.2
1988,80
1989,112
1990,117.3
1991,83.1
1992,188.1
1993,135.2
1994,72.5
1995,84.3
1996,150
1997,126.3
1998,105
1999,109.5
2000,83.5
2001,99.1
2002,152
2003,82.5
2004,108.3
2005,166.3
2006,96.5
2007,160.6
2008,96.2
2009,118.7
2010,90
2011,144.1
2012,149
2013,122
2014,188.1
2015,77.3
2017,90
