UF,PR
Cidade,IRETAMA
Nome Posto,IRETAMA
Latitude,-24.416666666666668
Longitude,-52.1
Codigo,2452008
Qtd. Anos,52
Ano,Maxima
1965,62
1966,58
1967,126
1968,69.8
1969,138.4
1970,80.2
1971,70.3
1972,36.8
1973,123
1974,86.4
1975,75.1
1976,100
1977,75
1978,97.3
1979,90.4
1980,94.2
1981,68.5
1982,94.7
1983,102.4
1984,105.4
1985,74.1
1986,87.4
1987,88.4
1988,92.1
1989,82.2
1990,78.5
1991,71
1992,120.1
1993,85.7
1994,82.1
1995,92.3
1996,119.5
1997,140.4
1998,118.9
1999,74.3
2000,72.2
2001,80.3
2002,200.7
2003,75.3
2004,89.6
2005,155.4
2006,87.3
2007,123.1
2008,49.6
2009,85
2010,68.1
2011,66
2012,124
2013,123.8
2014,197.2
2015,160.1
2017,51.2
