UF,PR
Cidade,CERRO AZUL
Nome Posto,BALSA DO CERRO AZUL
Latitude,-24.8
Longitude,-49.28333333333333
Codigo,2449006
Qtd. Anos,62
Ano,Maxima
1956,60.2
1957,60.5
1958,40.9
1959,60.5
1960,40.8
1961,60.2
1962,50.6
1963,40.6
1964,70.4
1965,60.6
1966,60.4
1967,60.6
1968,50.2
1969,50.6
1970,60.4
1971,40.2
1972,100.8
1973,60.4
1974,60.4
1975,116.2
1976,70.5
1977,30.6
1978,60.2
1979,60.6
1980,50.6
1981,60.2
1982,60.4
1983,100.5
1984,52.9
1985,52.8
1986,65.3
1987,66
1988,69.9
1989,114.3
1990,99.5
1991,57.5
1992,59.3
1993,63.5
1994,60
1995,62.5
1996,65
1997,71
1998,81.5
1999,49.5
2000,87.6
2001,66.3
2002,67.5
2003,62.5
2004,153
2005,85
2006,80
2007,80.3
2008,70
2009,63.5
2010,93.3
2011,73.6
2012,69.5
2013,121.2
2014,77.7
2015,76.8
2016,58.1
2017,63.6
