UF,PR
Cidade,SAO JOSE DA BOA VISTA
Nome Posto,BARRA MANSA
Latitude,-24.066666666666666
Longitude,-49.65
Codigo,2449045
Qtd. Anos,42
Ano,Maxima
1975,33
1976,50
1977,54
1978,100.6
1979,55.9
1980,55.2
1981,55.6
1982,39.4
1983,89.9
1984,59.6
1985,47
1986,84
1987,98
1988,67.3
1989,162.5
1990,147.1
1991,65.2
1992,43
1993,54.7
1994,38.1
1995,118.9
1996,58.7
1997,174.6
1998,80
1999,86.8
2000,103.6
2001,74.3
2002,95
2003,105
2004,140.5
2005,110.1
2006,63.7
2007,75.9
2008,67.3
2009,98.2
2010,203.4
2011,65.5
2012,65.8
2013,79.5
2014,72.7
2015,97.8
2017,58
