UF,PR
Cidade,TELEMACO BORBA
Nome Posto,SIQUEIRA CAMPOS (RVPSC)
Latitude,-23.683333333333334
Longitude,-49.85
Codigo,2349032
Qtd. Anos,44
Ano,Maxima
1937,212
1938,72
1939,70.8
1940,60.5
1941,77
1942,75
1943,90
1944,45
1945,62
1946,80
1947,98
1948,120
1949,57.2
1950,123
1951,52
1952,56
1953,64
1954,102
1955,113
1956,97.8
1957,115.2
1958,111.4
1959,106
1960,78
1961,76
1962,54
1963,114
1964,90
1965,110
1966,60
1967,46
1968,69.4
1969,65
1970,108
1971,49
1972,86
1973,90.6
1974,86
1975,75.2
1976,84
1977,48.2
1978,10.4
1979,78
1980,90
