UF,PR
Cidade,PARANAVAI
Nome Posto,FAZENDA SANTO ANTONIO
Latitude,-22.652777777777775
Longitude,-52.518055555555556
Codigo,2252017
Qtd. Anos,44
Ano,Maxima
1975,95
1976,74.2
1977,62.6
1978,81.6
1979,68.2
1980,220.8
1981,101
1982,75.2
1983,52
1984,80
1985,85
1986,65
1987,68
1988,124
1989,59
1990,56
1991,53
1992,71.4
1993,50.2
1994,75.2
1995,116.5
1996,83.3
1997,79.1
1998,90.8
1999,73.3
2000,63.9
2001,239
2002,81.2
2003,68.2
2004,68.8
2005,70.7
2006,102.2
2007,78.6
2008,47.6
2009,101
2010,118.4
2011,79.5
2012,118
2013,105
2014,80
2015,148.7
2016,78
2017,88.5
2018,79.8
