UF,PR
Cidade,SANTA ISABEL DO IVAI
Nome Posto,SANTA ISABEL DO IVAI
Latitude,-23.006666666666668
Longitude,-53.18888888888888
Codigo,2353001
Qtd. Anos,60
Ano,Maxima
1957,44.6
1958,103.4
1959,75.2
1960,66.2
1961,92.6
1962,90.4
1963,89.6
1964,72.6
1965,76.8
1966,60.8
1967,61.8
1968,63.2
1969,73.4
1970,69.8
1971,68
1972,125.4
1973,63.8
1974,84.8
1975,123.8
1976,78
1977,128.4
1978,59.2
1979,76.4
1980,70.8
1981,100.4
1982,102
1983,79.6
1984,81.4
1985,94.8
1986,70.9
1987,88.3
1988,62.6
1989,116
1990,63.4
1991,412
1992,98.6
1993,116.6
1994,94.9
1995,115
1996,92.2
1997,111.8
1998,107.7
1999,75.2
2000,150
2001,52.2
2002,71
2003,102
2004,86.5
2005,110
2006,135
2007,49
2008,91
2009,90
2010,120.1
2011,87.9
2012,66.1
2013,59
2014,126.2
2015,84
2017,61.1
