UF,PR
Cidade,VIRMOND
Nome Posto,VIRMOND
Latitude,-25.380555555555556
Longitude,-52.20055555555556
Codigo,2552040
Qtd. Anos,41
Ano,Maxima
1976,79
1977,93.8
1978,86.6
1979,103.3
1980,104.6
1981,80
1982,105.6
1983,204.8
1984,73.4
1985,68.4
1986,124.4
1987,233.3
1988,70.4
1989,100.2
1990,91
1991,122.4
1992,242.4
1993,155.2
1994,105.5
1995,123.2
1996,117.6
1997,126.2
1998,217.7
1999,109.5
2000,80.6
2001,91.4
2002,104.3
2003,86.9
2004,99.6
2005,68.7
2006,106.7
2007,90
2008,72.5
2009,76.6
2010,153.2
2011,128.1
2012,115.2
2013,166.7
2014,245.4
2015,62.5
2017,1555.4
