UF,PR
Cidade,APUCARANA
Nome Posto,APUCARANA (FAZENDA UBATUBA)
Latitude,-23.5
Longitude,-51.53333333333333
Codigo,2351008
Qtd. Anos,42
Ano,Maxima
1962,85
1963,56
1964,89
1965,85.5
1966,40
1967,69.5
1968,66.5
1969,85
1970,67.4
1971,120.5
1972,86.5
1973,63
1974,87
1975,57.2
1976,95.5
1977,85.5
1978,85.3
1979,82.8
1980,93.6
1981,87
1982,96.8
1983,73
1984,84.8
1985,86.2
1986,63.6
1987,108.8
1988,50
1989,68.3
1990,83.2
1991,64.8
1992,81.2
1993,97.4
1994,97
1995,78
1996,79
1997,153.6
1998,79.4
1999,79.5
2000,84.8
2001,87.6
2002,65
2003,60.3
