UF,PR
Cidade,MARIPA
Nome Posto,VILA MARIPA
Latitude,-24.416666666666668
Longitude,-53.81666666666667
Codigo,2453047
Qtd. Anos,41
Ano,Maxima
1976,101
1977,84.8
1978,57
1979,129.6
1980,88.5
1981,106.8
1982,172.6
1983,179.6
1984,73.4
1985,78
1986,101
1987,103.4
1988,102.4
1989,96.2
1990,89.8
1991,93.3
1992,118.4
1993,83.2
1994,123
1995,101.5
1996,120
1997,86.2
1998,98.6
1999,92.4
2000,119.9
2001,88.9
2002,93.5
2003,78.2
2004,83.3
2005,90
2006,75.2
2007,120.6
2008,66.8
2009,129.4
2010,76.5
2011,81.7
2012,115
2013,88.6
2014,73.1
2015,162.5
2017,66.3
