UF,PR
Cidade,PALMEIRA
Nome Posto,MANDACAIA
Latitude,-25.49527777777778
Longitude,-50.07638888888889
Codigo,2550042
Qtd. Anos,42
Ano,Maxima
1975,64.2
1976,77
1977,84.8
1978,67.8
1979,103
1980,48
1981,64.2
1982,60.2
1983,74.4
1984,67
1985,61
1986,60.2
1987,61.2
1988,62.4
1989,88.8
1990,87.6
1991,74.9
1992,105
1993,110
1994,69.1
1995,139.5
1996,103.5
1997,65.6
1998,83.9
1999,90.6
2000,99.2
2001,83.8
2002,70.7
2003,82.7
2004,70.6
2005,80.3
2006,64.4
2007,82
2008,77.2
2009,59.8
2010,71.6
2011,99.4
2012,76.2
2013,153
2014,98.6
2015,59.5
2017,61.7
