UF,PR
Cidade,GUARAPUAVA
Nome Posto,PALMEIRINHA
Latitude,-25.25
Longitude,-51.55
Codigo,2551033
Qtd. Anos,41
Ano,Maxima
1976,97.1
1977,63.5
1978,74.6
1979,80.7
1980,82.8
1981,63
1982,78.2
1983,139.4
1984,64.4
1985,65.6
1986,74
1987,133.2
1988,75.4
1989,75
1990,426
1991,90.6
1992,158.4
1993,115
1994,63.4
1995,109.1
1996,105.2
1997,98.5
1998,117
1999,72
2000,85.4
2001,85.2
2002,84.2
2003,98.2
2004,88.4
2005,56.6
2006,48.8
2007,85
2008,80.6
2009,91
2010,72.4
2011,113.6
2012,81
2013,98
2014,130.8
2015,77.8
2017,79.9
