UF,PR
Cidade,ALTAMIRA DO PARANA
Nome Posto,ALTAMIRA DO PARANA
Latitude,-24.8
Longitude,-52.7
Codigo,2452012
Qtd. Anos,51
Ano,Maxima
1966,26.1
1967,86.2
1968,73.5
1969,74.1
1970,153.1
1971,98
1972,80
1973,64
1974,74
1975,82
1976,109.2
1977,52.7
1978,137
1979,98.8
1980,82.8
1981,110.6
1982,96.6
1983,111.6
1984,99.3
1985,77.4
1986,115.6
1987,130.6
1988,74.2
1989,112.4
1990,103.6
1991,99
1992,123
1993,99.2
1994,116
1995,80.2
1996,102.6
1997,98
1998,156.3
1999,87.8
2000,87.5
2001,66
2002,103.5
2003,118
2004,100
2005,95.7
2006,132.5
2007,101.7
2008,94.9
2009,124.3
2010,122.9
2011,165.1
2012,118.8
2013,111.8
2014,121
2015,117
2017,92.2
