UF,PR
Cidade,ASSIS CHATEAUBRIAND
Nome Posto,BRAGANTINA
Latitude,-24.611111111111114
Longitude,-53.61416666666667
Codigo,2453030
Qtd. Anos,42
Ano,Maxima
1975,73.8
1976,67.4
1977,61.8
1978,80.4
1979,85.4
1980,86
1981,91.4
1982,70
1983,162.3
1984,140.1
1985,26.4
1986,92.2
1987,137
1988,55.8
1989,83.6
1990,102.7
1991,89
1992,137.7
1993,107.9
1994,76.4
1995,167.5
1996,122.5
1997,103.4
1998,87.1
1999,91.3
2000,72.7
2001,66.7
2002,96.5
2003,113.2
2004,89.7
2005,112.2
2006,103.9
2007,108
2008,124.3
2009,112
2010,98.9
2011,158
2012,107.2
2013,82.3
2014,95.2
2015,89.5
2017,73
