UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,SALTINHO
Latitude,-25.15
Longitude,-50.983333333333334
Codigo,2550055
Qtd. Anos,42
Ano,Maxima
1975,37.4
1976,75
1977,77
1978,92
1979,85
1980,74.2
1981,95.6
1982,85.6
1983,116.6
1984,67.2
1985,91
1986,85.1
1987,69.8
1988,70
1989,129.8
1990,99
1991,89
1992,80
1993,105.4
1994,85.7
1995,84.9
1996,72.8
1997,75.8
1998,69.5
1999,53.1
2000,137.7
2001,79
2002,84.8
2003,83.5
2004,77.7
2005,66.9
2006,63
2007,102.2
2008,175.2
2009,83.7
2010,104
2011,155.6
2012,93.7
2013,131.2
2014,83.9
2015,102.8
2017,120.4
