UF,PR
Cidade,CASTRO
Nome Posto,COLONIA IAPO
Latitude,-24.633055555555558
Longitude,-50.13305555555556
Codigo,2450026
Qtd. Anos,42
Ano,Maxima
1975,42.7
1976,86.4
1977,66.1
1978,84.8
1979,58.5
1980,102
1981,114.6
1982,119
1983,135.8
1984,86.6
1985,64.4
1986,78.6
1987,87
1988,91.8
1989,79.4
1990,107.5
1991,84.4
1992,78.7
1993,51.2
1994,86.3
1995,112.4
1996,98.7
1997,73.1
1998,73.8
1999,74.7
2000,85.2
2001,86.1
2002,68.2
2003,114
2004,66
2005,147.8
2006,74.5
2007,82.6
2008,88.3
2009,93.5
2010,79
2011,112.1
2012,93.5
2013,79.1
2014,118.3
2015,111.3
2017,95.1
