UF,PR
Cidade,INACIO MARTINS
Nome Posto,INACIO MARTINS
Latitude,-25.566666666666666
Longitude,-51.06666666666667
Codigo,2551014
Qtd. Anos,42
Ano,Maxima
1975,54.4
1976,107.4
1977,53
1978,85.6
1979,114
1980,95
1981,62.4
1982,77.2
1983,91
1984,125
1985,97.6
1986,77
1987,110.8
1988,60.8
1989,78.1
1990,203.6
1991,234
1992,193.7
1993,146
1994,66.3
1995,155.6
1996,82.5
1997,102
1998,98.1
1999,92.1
2000,130.1
2001,92.7
2002,81.4
2003,96
2004,75.5
2005,72.4
2006,66.2
2007,70
2008,73.4
2009,76.8
2010,112.2
2011,100.7
2012,91.7
2013,104.3
2014,174.3
2015,87
2017,121.3
