UF,PR
Cidade,MALLET
Nome Posto,RIO CLARO DO SUL (EUFROZINA)
Latitude,-25.952222222222222
Longitude,-50.67916666666667
Codigo,2550005
Qtd. Anos,69
Ano,Maxima
1948,54.2
1949,76
1950,59.6
1951,66.2
1952,66.4
1953,46.2
1954,81.4
1955,71.4
1956,78.4
1957,81.2
1958,64.2
1959,74
1960,80.8
1961,49.6
1962,53.6
1963,94.6
1964,61.6
1965,84
1966,66.2
1967,116.8
1968,82.8
1969,70.8
1970,71.2
1971,58.6
1972,51.2
1973,66.2
1974,64.6
1975,54.2
1976,71.6
1977,106
1978,77.6
1979,83
1980,141
1981,37.8
1982,78.2
1983,109.6
1984,72
1985,61.4
1986,56.6
1987,71.2
1988,79.4
1989,71.8
1990,72.6
1991,53
1992,143
1993,72.4
1994,65.8
1995,89.2
1996,87.2
1997,100.6
1998,90.6
1999,72.4
2000,84.2
2001,92.2
2002,64.6
2003,77.4
2004,72.4
2005,100.4
2006,36.8
2007,92.6
2008,65.8
2009,76.8
2010,91.8
2011,89.8
2012,95.4
2013,109.4
2014,227.4
2015,87.6
2017,95.6
