UF,PR
Cidade,VITORINO
Nome Posto,VITORINO - MOINHO CACADOR
Latitude,-26.266666666666666
Longitude,-52.8
Codigo,2652012
Qtd. Anos,49
Ano,Maxima
1964,74.2
1965,84.4
1966,95.4
1967,99.6
1968,104.2
1969,106.4
1970,82.4
1971,117.8
1972,115.6
1973,90.4
1974,104.2
1975,116
1976,71.6
1977,74
1978,76
1979,152.6
1980,105.4
1981,92.4
1982,128.4
1983,142.6
1984,90.6
1985,61.4
1986,83.2
1987,94.8
1988,83.4
1989,426
1990,149.6
1991,142
1992,123.3
1993,87.6
1994,98.3
1995,91.2
1996,97.8
1997,125.2
1998,179
1999,89.2
2000,65.7
2001,102.4
2002,102.1
2003,103.2
2004,78.5
2005,95.4
2006,88
2007,97.2
2008,79.7
2009,108.9
2010,135
2011,111.7
2012,52.9
