UF,PR
Cidade,TRES BARRAS DO PARANA
Nome Posto,TRES BARRAS DO PARANA
Latitude,-25.416666666666668
Longitude,-53.18333333333333
Codigo,2553030
Qtd. Anos,42
Ano,Maxima
1975,76.8
1976,76
1977,64.2
1978,71.2
1979,198
1980,141.4
1981,136
1982,99.4
1983,133.3
1984,122
1985,59.8
1986,78.5
1987,96
1988,90
1989,109.8
1990,76.6
1991,75.2
1992,102.5
1993,140.7
1994,93.7
1995,68.9
1996,100.6
1997,108.4
1998,135
1999,83.6
2000,95.8
2001,114.1
2002,81.7
2003,117.8
2004,82.7
2005,120.6
2006,172
2007,116.4
2008,64.9
2009,98.9
2010,72
2011,116.5
2012,111.5
2013,133.1
2014,271.8
2015,106.8
2017,92.9
