UF,PR
Cidade,QUINTA DO SOL
Nome Posto,QUINTA DO SOL
Latitude,-23.816666666666666
Longitude,-52.18333333333333
Codigo,2352002
Qtd. Anos,43
Ano,Maxima
1974,110
1975,80
1976,65
1977,93.2
1978,82.6
1979,116.2
1980,67
1981,142.6
1982,73
1983,86.4
1984,85.6
1985,94.6
1986,83.1
1987,128
1988,59.2
1989,64
1990,93
1991,79
1992,76.5
1993,87
1994,69.5
1995,110
1996,90
1997,65
1998,90
1999,153
2000,74.9
2001,67.4
2002,82
2003,66.2
2004,75.2
2005,68
2006,82.3
2007,152
2008,71
2009,95
2010,85
2011,70
2012,84
2013,71
2014,80
2015,110
2017,46
