UF,PR
Cidade,CRUZ MACHADO
Nome Posto,SANTANA
Latitude,-25.94388888888889
Longitude,-51.26222222222222
Codigo,2551017
Qtd. Anos,42
Ano,Maxima
1975,76.3
1976,82.3
1977,59
1978,68.3
1979,71.2
1980,111.1
1981,74.8
1982,80.8
1983,122.6
1984,106.4
1985,58.6
1986,88.9
1987,97.9
1988,97
1989,102
1990,98.6
1991,65.1
1992,191.4
1993,114.7
1994,75.1
1995,82.5
1996,119.8
1997,108
1998,92.3
1999,81.6
2000,105.5
2001,83.2
2002,133
2003,95.1
2004,95
2005,74.9
2006,45.6
2007,106.5
2008,93.2
2009,87.7
2010,134.5
2011,81.1
2012,130.7
2013,93.8
2014,227.5
2015,77.7
2017,124.4
