UF,PR
Cidade,INACIO MARTINS
Nome Posto,LEONOPOLIS
Latitude,-25.694166666666668
Longitude,-51.2025
Codigo,2551001
Qtd. Anos,60
Ano,Maxima
1957,138
1958,79
1959,70
1960,81.6
1961,92.4
1962,75
1963,139.6
1964,88.2
1965,110.2
1966,73
1967,59.6
1968,90.2
1969,87.2
1970,83.2
1971,74
1972,67.1
1973,95
1974,25
1975,50
1976,94
1977,82
1978,75
1979,75
1980,107
1981,106
1982,77
1983,111.2
1984,95
1985,82
1986,113
1987,100
1988,72
1989,97
1990,81
1991,79
1992,180
1993,86
1994,71
1995,63
1996,98
1997,130
1998,99
1999,82
2000,90
2001,74.1
2002,61.3
2003,80.5
2004,106.1
2005,65.9
2006,63.4
2007,65.1
2008,108.7
2009,99
2010,105.5
2011,73
2012,80
2013,33
2014,220.8
2015,52.6
2017,72
