UF,PR
Cidade,GRANDES RIOS
Nome Posto,RIBEIRAO BONITO
Latitude,-24.183333333333334
Longitude,-51.43333333333333
Codigo,2451023
Qtd. Anos,41
Ano,Maxima
1975,85
1976,72.6
1977,88
1978,69
1979,96
1980,92
1981,37.4
1982,87.2
1983,108.6
1984,64.6
1985,52.2
1986,73
1987,68
1988,74
1989,117
1990,77
1991,63
1992,123.4
1993,74.5
1994,106.8
1995,123.2
1996,82
1997,63.3
1998,82.3
1999,65.8
2000,97.3
2001,52.9
2002,96.7
2003,122.8
2004,68.6
2005,46.2
2006,76.8
2007,110.6
2008,102.6
2009,95.9
2010,60.3
2011,72.6
2012,125
2013,157.2
2014,205
2015,123
