UF,PR
Cidade,DOIS VIZINHOS
Nome Posto,PCH ARTURO ANDREOLI FLOR DA SERRA
Latitude,-25.682222222222222
Longitude,-52.98444444444444
Codigo,2553052
Qtd. Anos,40
Ano,Maxima
1977,84
1978,87.2
1979,113
1980,77.8
1981,112
1982,123.1
1983,130.4
1984,132.4
1985,64.1
1986,88
1987,84
1988,83.3
1989,94.2
1990,138.9
1991,84.1
1992,131.3
1993,141.2
1994,87.5
1995,70.2
1996,144.6
1997,155.1
1998,102.4
1999,90.4
2000,68.4
2001,86.3
2002,84.7
2003,106.2
2004,106.9
2005,97.3
2006,67.1
2007,88.1
2008,105.4
2009,80.3
2010,80.3
2011,92.7
2012,85.2
2013,157.7
2014,145
2015,125.7
2017,114.6
