UF,PR
Cidade,MARINGA
Nome Posto,MARINGA
Latitude,-23.416666666666668
Longitude,-51.95
Codigo,2351013
Qtd. Anos,53
Ano,Maxima
1961,132.9
1963,24.4
1964,99.4
1965,84
1966,67
1967,62
1968,60
1969,92
1970,88.5
1971,74
1975,92
1976,99.5
1977,107.7
1978,24.4
1979,76
1980,90
1981,127.3
1982,102.4
1983,82.8
1984,101.1
1985,92.9
1986,71.8
1987,104.8
1988,69
1989,58.1
1990,74.1
1991,76
1992,101.6
1993,101.2
1994,67.1
1995,89.9
1996,111.2
1997,151.5
1998,73.6
1999,94.4
2000,90.3
2001,50.8
2002,78.6
2003,57.4
2004,76.3
2005,63.5
2006,110.6
2007,84.1
2008,83.9
2009,115.9
2010,53
2011,127.2
2012,142.6
2013,107.2
2014,81.4
2015,138.2
2016,137.7
2017,77
