UF,BA
Cidade,SANTA RITA DE CASSIA 
Nome Posto,IBIPETUBA
Latitude,-11.00611111111111
Longitude,-44.525555555555556
Codigo,1144027
Qtd. Anos,95
Ano,Maxima
1911,31.1
1912,66.1
1913,56
1914,96
1916,72
1917,74
1918,74
1919,45.2
1925,65.3
1926,93.6
1927,54
1928,64.5
1929,50
1930,82
1931,56
1932,45
1933,76
1934,62
1935,82
1936,90.6
1937,66
1938,58
1939,73.6
1940,90.4
1941,100.2
1942,100
1943,100
1944,100.6
1945,80
1946,107.2
1947,74.2
1948,70.2
1949,65
1950,117
1951,118.3
1952,123
1953,80.8
1954,80.5
1955,138.8
1956,90.1
1957,80.1
1958,100.6
1959,79.5
1960,81.2
1961,53.6
1962,117
1963,60.6
1964,90.1
1965,80
1966,74.5
1967,90.1
1968,90.5
1969,98.2
1970,100.8
1971,88.2
1972,66.4
1973,100
1974,87.1
1983,37.7
1984,34
1985,111
1986,638
1987,80.2
1988,59.6
1989,56.4
1990,40.2
1991,66.4
1992,114.6
1993,81
1994,64
1995,56.4
1996,50.2
1997,94.8
1998,77
1999,128.4
2000,88.8
2001,66.4
2002,58.8
2003,43
2004,86.8
2005,62
2006,75.9
2007,65.6
2008,70
2009,105
2010,53.2
2011,101.5
2012,95.7
2013,77.9
2014,108
2015,50.3
2016,146
2017,65
2018,66
2019,54.5
