UF,BA
Cidade,SALVADOR
Nome Posto,SALVADOR - ONDINA
Latitude,-13.016666666666667
Longitude,-38.88333333333333
Codigo,1338007
Qtd. Anos,52
Ano,Maxima
1963,66.1
1964,141.6
1965,121.5
1966,107.9
1967,73.8
1968,123.5
1969,111.2
1970,161.1
1973,127.4
1974,144.8
1975,109.4
1976,79.3
1977,134.6
1978,79.4
1979,114.2
1980,159
1983,41.5
1984,133.4
1986,113.2
1987,99.8
1988,130.8
1989,106
1990,97.8
1991,124
1992,87.3
1993,68.7
1994,114
1995,95.3
1996,232.5
1997,84
1998,141
1999,180.2
2000,75.8
2001,73.9
2002,108.6
2003,112.2
2004,89.3
2005,144.8
2006,110.6
2007,67.8
2008,130.8
2009,123
2010,118
2011,97.6
2012,186.4
2013,117.7
2014,104.9
2015,105.4
2016,97.5
2017,61.9
2018,81.8
2019,121
