UF,BA
Cidade,SANTA CRUZ DA VITORIA
Nome Posto,SANTA CRUZ DA VITORIA
Latitude,-14.958888888888888
Longitude,-39.8075
Codigo,1439044
Qtd. Anos,51
Ano,Maxima
1969,79.2
1970,90
1971,30.2
1972,51.2
1973,86.6
1974,120.2
1975,80
1976,63.5
1977,46.6
1978,90.2
1979,57
1980,97.5
1981,70.2
1982,86
1983,59.8
1984,42.2
1985,47.6
1986,75
1987,40.4
1988,45.2
1989,62.3
1990,164
1991,79.4
1992,112.3
1993,78
1994,84
1995,56
1996,35
1997,84
1998,73
1999,85.4
2000,84.8
2001,53
2002,62
2003,30.4
2004,66.8
2005,87.4
2006,61.2
2007,110.5
2008,75.6
2009,54.2
2010,62.1
2011,46.2
2012,34.1
2013,62.1
2014,106.3
2015,26.1
2016,44.5
2017,51.2
2018,38.2
2019,66.7
