UF,BA
Cidade,CAETITE
Nome Posto,CAETITE-1
Latitude,-14.066666666666666
Longitude,-42.483333333333334
Codigo,1442003
Qtd. Anos,68
Ano,Maxima
1911,65.8
1912,65.2
1913,74.6
1914,74.3
1915,44.6
1916,65.2
1917,49.4
1918,68
1919,65.9
1920,65.2
1921,71.3
1922,56.2
1923,59
1924,85
1925,52.8
1926,70
1927,71.9
1928,76.2
1929,67
1930,64.2
1931,52.3
1932,82.6
1933,61.2
1934,42
1935,150.4
1936,48.7
1937,38.3
1938,55
1939,38
1940,49.9
1941,88.5
1942,83.3
1943,30.5
1944,63.3
1945,86.5
1946,59.8
1947,80
1948,86
1949,62
1950,58.5
1951,104.5
1952,92
1953,104
1954,85
1955,59.8
1956,52
1957,84
1958,70.4
1959,72
1960,93
1961,43
1962,37
1963,99
1964,72
1965,41.7
1966,70.5
1967,70
1968,128.4
1969,57.4
1970,84.6
1971,66
1972,62
1973,72.4
1974,85.4
1975,44
1976,44.1
1984,60
1985,82.6
