UF,BA
Cidade,ITUBERA
Nome Posto,ITUBERA
Latitude,-13.810555555555556
Longitude,-39.16916666666666
Codigo,1339012
Qtd. Anos,56
Ano,Maxima
1964,25.3
1965,80
1966,64.8
1967,120.1
1968,140
1969,214.6
1970,81.1
1971,65.3
1972,142.8
1973,115.5
1974,91.6
1975,150.7
1976,100.7
1977,125.7
1978,75.8
1979,75.7
1980,70
1981,75.7
1982,75
1983,89.8
1984,126.7
1985,50.5
1986,65.5
1987,90.8
1988,84.6
1989,130.4
1990,134
1991,150.2
1992,45.4
1993,90
1994,93
1995,89.4
1996,55
1997,92.8
1998,67
1999,103.5
2000,69.1
2001,91
2002,96.7
2003,65.6
2004,90.9
2005,71.8
2006,66.9
2007,100.3
2008,56
2009,200.1
2010,100.5
2011,96.7
2012,45.6
2013,187.2
2014,63.7
2015,64.3
2016,72.5
2017,83.2
2018,63.5
2019,57.9
