UF,BA
Cidade,PINDOBACU
Nome Posto,PINDOBACU-1
Latitude,-10.733333333333333
Longitude,-40.35
Codigo,1040010
Qtd. Anos,56
Ano,Maxima
1933,10
1934,50
1935,68
1936,57
1937,82
1938,83
1939,78
1940,80
1941,85.5
1942,53
1943,61.7
1944,45.4
1945,95.3
1946,45
1947,80
1948,105
1949,52
1950,43.6
1951,76
1952,53.4
1953,34
1954,80
1955,67.7
1956,51
1957,79
1958,117
1959,65
1960,65
1961,61
1962,100
1963,81
1964,68
1965,77
1966,97.2
1967,55
1968,56.2
1969,151
1970,72.1
1971,103
1972,87
1973,55
1974,125
1975,55
1976,77.4
1977,72.2
1978,105.2
1979,60.8
1980,80.2
1981,30.2
1982,29
1983,78.2
1984,75.2
1985,55.4
1986,78
1987,50.2
1988,14.2
