UF,BA
Cidade,SENTO SE
Nome Posto,SENTO SE
Latitude,-9.740555555555554
Longitude,-41.88361111111111
Codigo,941012
Qtd. Anos,73
Ano,Maxima
1937,30.8
1938,27.3
1939,93.2
1940,77.6
1941,94.7
1942,78.8
1943,90.4
1944,52.6
1945,60.8
1946,85.4
1947,80.2
1948,60.9
1949,89.3
1950,38.6
1951,50.1
1952,29.8
1953,61.2
1954,110
1955,35.6
1956,43.6
1957,81.4
1958,80.4
1959,42.5
1960,161
1961,60.8
1962,70
1963,72
1964,78
1965,77
1966,58
1967,112.4
1968,76.2
1969,116.2
1970,61.1
1971,49
1972,66
1973,74
1974,80
1975,80
1976,60
1977,40
1979,99
1980,95
1981,173
1982,179
1983,70.2
1984,81
1985,82.5
1986,81.5
1987,85
1989,65
1990,60
1991,62
1998,36.2
1999,58
2000,180
2001,18.8
2004,46
2005,76
2006,108.3
2007,91
2008,106.6
2009,60
2010,61.7
2011,200.9
2012,50.4
2013,79.8
2014,79.8
2015,39.8
2016,38.2
2017,10
2018,47.1
2019,65.1
