UF,BA
Cidade,RIACHAO DAS NEVES
Nome Posto,CARIPARE-2
Latitude,-11.511944444444444
Longitude,-45.04194444444444
Codigo,1145019
Qtd. Anos,36
Ano,Maxima
1984,65.8
1985,107.4
1986,56
1987,58.9
1988,62.6
1989,99.8
1990,59.8
1991,50.1
1992,93
1993,41.2
1994,130
1995,81.1
1996,52.3
1997,56.5
1998,70.8
1999,70.8
2000,107.1
2001,138.9
2002,70.5
2003,83.6
2004,100.2
2005,65.5
2006,109
2007,66.1
2008,136.6
2009,54.4
2010,82.6
2011,84.3
2012,48.2
2013,81.2
2014,101.4
2015,71.8
2016,100.9
2017,70.9
2018,82
2019,81.6
