UF,BA
Cidade,SAUDE
Nome Posto,SAUDE
Latitude,-10.933333333333334
Longitude,-40.4
Codigo,1040019
Qtd. Anos,66
Ano,Maxima
1934,90
1935,50
1936,69
1937,50
1938,65.3
1939,63.3
1940,126.2
1941,80.2
1942,126.3
1943,110.2
1944,108.1
1945,74
1946,72
1947,89
1948,62
1949,65
1950,67
1951,53
1952,72
1953,68
1954,72
1955,72
1956,138
1957,108
1958,125
1959,125
1960,108
1961,56
1962,100
1963,88.2
1964,84
1965,182.3
1966,144
1967,48
1968,40.8
1969,107.2
1970,94.6
1971,56.2
1972,81.8
1973,75.4
1974,84.6
1975,57.8
1976,132.2
1977,125.2
1978,158.6
1979,75.2
1980,57.8
1981,76.4
1982,46.2
1983,131.4
1984,38.4
1985,140.6
1986,73.6
1987,112.6
1988,82.4
1989,78.6
1990,104.2
1991,102.2
1994,60.8
1995,41.2
1996,65.4
1997,97.4
1998,97.2
1999,51.2
2000,50.2
2001,12.3
