UF,BA
Cidade,CORRENTINA
Nome Posto,ARROJOLANDIA
Latitude,-13.734166666666665
Longitude,-45.40333333333333
Codigo,1345000
Qtd. Anos,39
Ano,Maxima
1981,50.5
1982,40.5
1983,50.1
1984,99
1985,102.8
1986,58.3
1987,41.2
1988,101
1989,106
1990,29.5
1991,31.2
1992,100
1993,100
1994,74
1995,80.4
1996,66.4
1997,12.4
1998,13.3
1999,19
2000,99.3
2001,72.8
2002,48.6
2003,56.1
2004,82.5
2005,68.6
2006,101.7
2007,62
2008,152.2
2009,89.5
2010,98.5
2011,78.5
2012,63.1
2013,108.6
2014,76.2
2015,88.7
2016,81.1
2017,73.3
2018,82.7
2019,92.8
