UF,BA
Cidade,BROTAS DE MACAUBAS
Nome Posto,BROTAS DE MACAUBAS-1
Latitude,-12
Longitude,-42.63333333333333
Codigo,1242006
Qtd. Anos,55
Ano,Maxima
1937,66.2
1938,54
1939,52.4
1940,61.8
1941,98.2
1942,80.5
1943,114.4
1944,52.2
1945,82.5
1946,68.2
1947,51.3
1948,84.4
1949,63.5
1950,30
1951,62.3
1952,47.2
1953,83.6
1954,51
1955,60
1956,60
1957,55
1958,93
1959,78.5
1960,70
1961,99
1962,70
1963,68.3
1964,76
1965,48.6
1966,83
1967,73
1968,64
1969,58
1970,59
1971,40
1972,33
1973,35
1974,88.6
1975,42
1976,31
1977,53.4
1978,100
1979,65
1980,56.4
1981,54.8
1982,44.6
1983,140
1984,69
1985,66.8
1986,44.8
1987,43
1989,68.3
1990,63.9
1991,50.4
1996,41.2
