UF,BA
Cidade,ITAMBE
Nome Posto,ITAMBE
Latitude,-15.248333333333333
Longitude,-40.63111111111111
Codigo,1540004
Qtd. Anos,55
Ano,Maxima
1946,44.4
1947,75.2
1948,62.3
1949,37.7
1950,44
1951,50
1952,69
1953,52
1954,66.4
1955,85
1956,43.2
1957,47
1958,63.6
1959,54.6
1960,78.2
1961,42
1962,39.4
1963,83.2
1964,144.2
1965,56.6
1966,48
1967,75.4
1968,53
1969,64
1970,68
1971,76
1972,80.1
1973,58.4
1974,78
1975,158.1
1976,54
1977,80
1978,66.6
1979,77.5
1980,89
1981,80
1982,125
1983,75
1984,45
1985,71
2005,39.8
2006,90.3
2007,41.1
2008,65.3
2009,51.2
2010,45.2
2011,63.4
2012,42.1
2013,67.6
2014,58.7
2015,69.6
2016,51
2017,53.9
2018,38.9
2019,143
