UF,BA
Cidade,AMARGOSA
Nome Posto,AMARGOSA
Latitude,-13.016666666666667
Longitude,-39.583333333333336
Codigo,1339021
Qtd. Anos,44
Ano,Maxima
1943,100.7
1944,60.2
1945,40.4
1946,40.2
1947,100.6
1948,62.6
1949,75
1950,40.1
1951,100
1952,80
1953,80
1954,89.9
1955,80.1
1956,48.1
1957,100.1
1958,80
1959,80
1960,182.9
1961,38.4
1962,47
1963,143.5
1964,126
1965,41.4
1966,98.4
1967,133.4
1968,93.2
1969,80
1970,93
1971,83
1972,99
1973,76.1
1974,66
1975,102
1976,37.4
1977,50.1
1978,76.2
1979,61
1980,65.6
1981,33
1982,25.8
1983,54
1984,73
1985,135
1986,50.2
