UF,BA
Cidade,TEODORO SAMPAIO
Nome Posto,TEODORO SAMPAIO
Latitude,-12.300277777777778
Longitude,-38.64388888888889
Codigo,1238051
Qtd. Anos,57
Ano,Maxima
1963,93.4
1964,72
1965,46.8
1966,87.4
1967,81.4
1968,98
1969,85
1970,133
1971,18.8
1972,51.5
1973,108
1974,94.2
1975,88.6
1976,62.2
1977,63
1978,56.4
1979,90.5
1980,56.1
1981,60.8
1982,95.3
1983,52.6
1984,32.2
1985,94.2
1986,68.4
1987,71.2
1988,108
1989,130.2
1990,38.2
1991,80.2
1992,101.1
1993,32.9
1994,50.6
1995,108.8
1996,97.5
1997,56.4
1998,57.2
1999,124.3
2000,57.8
2001,72.9
2002,60.5
2003,88
2004,75.6
2005,78
2006,135
2007,73.8
2008,67.4
2009,54
2010,81.7
2011,84.4
2012,44.9
2013,57
2014,88
2015,90
2016,58.2
2017,40.4
2018,51.8
2019,80.4
