UF,BA
Cidade,RUY BARBOSA
Nome Posto,RUY BARBOSA
Latitude,-12.283333333333333
Longitude,-40.45
Codigo,1240023
Qtd. Anos,55
Ano,Maxima
1935,82.2
1936,46.2
1937,113
1938,71.1
1939,36
1940,158
1941,56
1942,70.1
1943,140.1
1944,56.1
1945,147.1
1946,45.6
1947,155.5
1948,25
1949,130
1950,59
1951,38
1953,58
1954,54.5
1955,49
1956,78
1957,92
1958,35
1959,28.5
1960,212
1961,76
1962,170
1963,78
1964,138
1965,39.4
1966,110
1967,137
1968,54
1969,46.5
1970,47.9
1971,42
1972,92.3
1973,100.4
1974,56.2
1975,100
1976,38.3
1977,65
1978,79.8
1979,53
1980,50.2
1981,125.1
1982,36.2
1983,100.5
1984,50.5
1985,80.1
1986,90
1987,80
1988,112
1989,113
1990,114
