UF,BA
Cidade,FORMOSA DO RIO PRETO
Nome Posto,FAZENDA BOM JARDIM
Latitude,-10.9925
Longitude,-45.526666666666664
Codigo,1145004
Qtd. Anos,54
Ano,Maxima
1963,12.5
1964,12
1965,21.3
1966,11.4
1967,10.6
1968,3.2
1969,24.8
1970,24.4
1971,24.2
1972,24.4
1973,24.8
1977,24.8
1978,50.8
1979,48.6
1980,24.8
1981,60.4
1982,114.4
1983,25
1984,30
1985,85.8
1986,50.1
1987,60.1
1988,98.2
1989,84.9
1990,50.2
1991,60
1992,80
1993,56.7
1994,70
1995,75
1996,65.6
1997,69.3
1998,109
1999,75.6
2000,101.1
2001,99.9
2002,98.7
2003,112.1
2004,100
2005,88.3
2006,58.8
2007,42.8
2008,91.9
2009,57.9
2010,93
2011,117
2012,65
2013,75.5
2014,72
2015,76.5
2016,97
2017,92.5
2018,99
2019,81
