UF,BA
Cidade,IACU
Nome Posto,JOAO AMARO
Latitude,-12.783333333333333
Longitude,-40.35
Codigo,1240003
Qtd. Anos,78
Ano,Maxima
1911,33.8
1912,54
1913,54
1914,47.2
1915,58.8
1916,65
1917,65.1
1918,66.8
1919,45.5
1920,70.2
1921,68
1922,42.4
1923,53.6
1924,41.8
1925,68.5
1926,68
1927,68
1928,60
1929,68
1930,68
1931,63.4
1932,44
1933,68
1934,39
1935,68
1936,68
1937,68
1938,38.5
1939,48.3
1940,76.7
1941,48.6
1942,71.5
1943,85.3
1944,66
1945,65.7
1947,64.2
1949,24.5
1950,28.2
1951,40.3
1952,81
1953,66.6
1954,67
1955,50.8
1956,60
1957,63
1958,64.5
1959,69
1960,50.8
1961,47.4
1962,51.1
1963,85
1964,87
1965,55
1966,71
1967,87.2
1968,82
1969,51.3
1970,45
1971,53
1972,75
1973,79.4
1974,75.4
1975,70
1976,81
1977,80
1978,78.2
1979,72.6
1980,69.3
1981,52
1982,35
1983,60
1984,46.8
1985,60
1986,32
1987,22
1988,60
1989,42
1991,36
