UF,BA
Cidade,GLORIA
Nome Posto,GLORIA
Latitude,-9.344444444444445
Longitude,-38.256388888888885
Codigo,938007
Qtd. Anos,76
Ano,Maxima
1918,24.2
1919,20.5
1920,78.5
1921,49.3
1922,98.5
1923,105.4
1924,145.3
1925,54.5
1926,93.2
1927,45.7
1928,48.7
1929,89.8
1930,36.8
1931,47.4
1932,15.7
1933,55.3
1934,35
1935,80.3
1936,24.2
1937,117
1938,44.6
1939,14
1940,38.4
1941,95
1942,30
1943,44
1944,108
1945,36
1946,27
1947,75
1948,60
1949,72
1950,80.2
1951,30
1952,72
1953,30
1954,58
1955,29
1956,33
1957,84
1958,48
1959,34
1960,90
1961,104
1962,32
1963,51
1964,54
1965,122.5
1966,83.5
1967,84.2
1968,77.3
1969,87.3
1970,42.1
1971,45.1
1972,100.2
1973,58.3
1974,69.3
1975,67.2
1976,33.7
1977,64.5
1978,107.2
1979,53.5
1980,68.3
1981,126
1982,28.3
1983,106.1
1984,58.5
1985,100.1
1986,100
1987,50
1989,58.3
1990,41.4
1991,117.6
1995,25.4
1996,23.5
1997,110
