UF,BA
Cidade,TABOCAS DO BREJO VELHO
Nome Posto,SANTA HELENA (MARIQUITA)
Latitude,-12.4
Longitude,-44.25
Codigo,1244008
Qtd. Anos,56
Ano,Maxima
1936,60.3
1937,52.8
1938,125.5
1939,75.6
1940,85.6
1941,86.5
1942,56.2
1943,40
1944,78
1945,60.7
1946,60.5
1947,102
1948,82
1949,58.5
1950,26.2
1951,66.5
1952,57
1953,70
1954,84
1955,84
1956,51.8
1957,75
1958,53.5
1959,35
1960,54
1961,40
1962,51.5
1963,62
1964,62.3
1965,53.5
1966,67.5
1967,64.8
1968,99.2
1969,82.8
1970,62.2
1971,61.8
1972,121.5
1973,91.5
1974,130.3
1975,97.8
1976,45.4
1977,64.2
1978,152.2
1979,84.3
1980,84.4
1981,54.6
1982,87.4
1983,74.1
1984,72.8
1985,79.4
1986,100.4
1987,50.6
1988,50.8
1989,52.6
1990,27.2
1991,45.4
